WT1	WT2	WT3	LSD1ko1	LSD1ko2	LSD1ko3
Hsbp1	338	763	470	1047	1699	1111
Necab2	0	1	0	0	0	0
Osgin1	25	13	14	22	34	55
Slc38a8	4	2	0	3	16	7
Dnaaf1	0	0	0	0	0	1
Taf1c	82	77	69	242	224	215
Hsdl1	203	205	146	518	623	581
Tldc1	33	24	20	93	68	70
Atp2c2	2	2	0	2	3	3
Klhl36	52	65	58	149	175	122
Cotl1	3343	3751	3396	7448	10295	7924
Crispld2	1	0	0	0	0	1
6430548M08Rik	9	38	52	18	17	241
Zdhhc7	284	212	232	639	834	790
Gse1	445	345	242	1012	595	896
Cox4i1	2528	4366	3785	5514	9413	5783
Emc8	260	316	208	569	795	642
Irf8	3677	3570	3001	10527	10244	8936
Mthfsd	120	133	93	273	383	331
Map1lc3b	294	354	273	804	1116	923
Fbxo31	103	94	77	261	193	212
Klhdc4	421	404	316	1000	1184	984
BC048644	2	0	0	0	0	4
Zc3h18	584	415	340	1534	1549	1397
Cyba	1088	1652	1730	2733	3269	2657
Snai3	2	0	0	4	0	2
Mvd	147	106	102	311	350	245
Ctu2	171	204	135	422	524	417
Rnf166	97	141	136	232	314	320
Il17c	0	0	1	4	1	2
9330133O14Rik	14	19	12	63	52	73
Piezo1	293	251	184	1019	601	965
Aprt	339	336	326	898	984	663
Cdt1	512	402	344	1061	1118	1054
Galns	170	201	167	499	465	486
Trappc2l	110	244	128	349	401	273
Pabpn1l	0	2	1	0	4	1
Cdh15	0	0	0	4	0	0
2810013P06Rik	24	45	22	70	100	102
Rpl13	3716	4302	3410	10047	14403	9114
Mir7079	0	0	0	7	0	1
Snord68	0	3	0	5	8	3
Dpep1	0	0	0	0	1	0
Zfp276	123	112	81	321	300	301
Fanca	180	207	126	623	504	523
Spata2l	29	25	18	54	50	69
Cdk10	76	61	77	143	163	161
Vps9d1	73	70	33	251	136	168
4933417D19Rik	0	2	0	0	0	0
Def8	92	137	97	353	318	253
Tcf25	1683	1775	1377	3691	5210	4166
Tubb3	53	26	30	39	52	27
Mc1r	0	0	0	0	1	0
Dbndd1	2	1	0	4	5	9
Afg3l1	383	352	284	1097	1227	1149
Gas8	37	38	27	134	148	107
Rhou	5	0	0	0	0	1
Rab4a	0	0	0	5	1	7
Ccsap	74	48	36	161	149	150
Acta1	0	0	0	2	0	0
Abcb10	193	220	131	501	431	413
Nup133	433	581	335	1404	1606	1488
Taf5l	278	308	242	880	1023	884
Urb2	167	157	87	736	472	680
Cog2	281	430	285	702	937	886
Fam89a	0	1	0	30	4	2
Arv1	21	33	10	53	56	56
Ttc13	193	183	112	509	509	616
Exoc8	79	105	52	274	254	276
Sprtn	70	72	55	312	328	277
2810004N23Rik	220	292	200	715	728	619
Gnpat	707	644	503	1649	2039	1932
Tsnax	495	540	333	1379	1803	1552
Map10	3	7	4	15	2	7
Ntpcr	55	67	48	173	222	196
Tarbp1	76	49	25	222	188	294
Coa6	78	188	59	242	336	222
Irf2bp2	127	78	56	555	189	278
Tomm20	430	681	391	1090	1700	1038
Rbm34	84	134	79	468	402	476
2610044O15Rik8	14	51	14	85	117	92
Gm32856	29	58	20	189	155	136
Rec114	0	0	1	12	1	4
Stag1	231	964	298	1691	1598	1533
Shisa5	857	955	791	4502	2838	3092
Rbms3	0	0	0	0	0	2
Pdgfd	1	0	0	0	0	0
Slc36a4	17	24	19	133	92	79
Maml2	41	77	31	207	261	267
Elavl3	1	0	0	1	0	0
S1pr2	2440	2108	1581	4894	7248	6320
Fli1	349	600	238	1008	1351	1367
Sik3	419	315	229	841	864	1155
Arhgef12	138	170	123	662	571	760
Jaml	9	6	3	73	47	45
Scaper	14	78	18	156	201	161
Atm	185	473	177	1725	1222	1537
Smad6	1	1	0	1	0	1
Ppib	339	549	377	952	1246	1006
Hacd3	99	153	83	430	325	384
Myo9a	13	149	83	201	110	587
Pias1	235	362	196	1117	863	1007
Uaca	0	2	0	11	4	6
Zfp280d	83	432	108	623	587	578
Rora	0	1	0	0	0	9
Myo1e	1217	1418	917	3602	3691	3839
Irak1bp1	23	31	15	124	73	88
Cd109	0	0	0	45	7	24
Col12a1	0	0	0	3	0	0
Adamts7	3	1	1	12	0	0
Cyb5r4	307	683	269	1410	1775	1433
Copb2	873	1476	724	3108	3815	3434
Clstn2	0	0	0	1	0	0
A4gnt	0	1	0	0	0	0
Cpne4	0	2	0	0	1	18
Col6a5	0	0	0	1	0	2
Dock3	0	2	1	11	15	21
Ip6k1	607	613	595	1475	1690	1620
Lrrfip2	90	104	59	362	413	352
Dhx30	599	525	444	1466	1426	1598
Arpp21	0	0	0	6	49	47
Scn5a	0	0	0	1	2	0
Cwf19l2	38	166	65	469	347	280
Kbtbd3	9	43	8	40	45	89
Dync2h1	63	90	46	416	281	374
Yap1	7	0	0	4	0	2
Birc3	285	449	258	2029	1311	1423
Cep126	0	0	0	0	0	2
Arhgap42	3	0	0	0	0	1
Amotl1	4	7	4	26	30	37
Sesn3	190	278	179	888	889	939
Mtmr2	228	453	215	806	999	1000
Mre11a	232	461	216	1083	1000	1004
Cep295	95	334	137	1074	714	643
Hephl1	0	0	0	0	0	1
Deup1	2	2	0	10	6	6
Fat3	0	0	0	2	0	0
Naalad2	0	0	0	0	1	2
Zfp26	66	212	80	516	410	516
Keap1	372	375	285	898	1287	1092
Dnm2	841	788	593	2072	2363	2462
Smarca4	3624	3030	2124	8324	9621	10268
Spc24	503	532	421	1099	1615	1039
Bbs9	52	53	33	174	238	211
Zfp810	15	45	17	167	96	130
Mir680-2	0	0	1	0	3	0
9530077C05Rik	13	7	9	25	41	27
Bmper	0	1	0	0	0	0
Tbx20	1	0	0	0	0	0
Sept7	316	1959	567	3059	2697	2585
Eepd1	35	25	16	77	50	44
Thyn1	10	27	9	41	33	32
Jam3	0	0	0	12	2	1
Zbtb44	133	195	98	540	441	569
Prdm10	31	33	26	131	124	159
Aplp2	120	145	126	410	329	706
Arhgap32	5	9	4	76	18	82
Barx2	0	0	0	2	0	0
Kcnj1	0	0	0	14	8	0
Fam118b	134	218	135	474	517	510
4930581F22Rik	1	1	1	7	8	9
Dcps	495	747	515	1025	1774	1121
Siae	52	86	39	145	161	254
Clmp	1	0	1	2	0	5
Gramd1b	9	15	2	57	36	60
Ubash3b	16	8	12	130	55	137
3110039I08Rik	3	0	0	0	0	1
4930546K05Rik	0	0	0	0	1	0
Grik4	0	0	1	0	0	2
Tbcel	116	138	63	361	445	435
Sorl1	1222	1529	957	3093	4016	5258
Nectin1	1	2	2	7	7	3
Phldb1	5	2	2	12	3	2
Cbl	320	393	211	1463	1071	1729
Hinfp	169	186	89	402	581	507
Kmt2a	1242	1318	620	5583	3447	4322
Ube4a	323	456	252	1307	1099	1494
Rnf214	81	109	58	346	285	325
BC049352	1	16	4	14	25	25
2900052N01Rik	2	10	7	2	2	32
Cadm1	26	98	74	46	51	501
Zbtb16	0	0	1	2	0	0
Usp28	163	205	132	640	611	644
Nxpe4	3	28	13	60	29	64
Ncam1	1	0	0	1	0	0
Sik2	34	42	18	154	98	133
Dixdc1	1	2	0	0	2	3
Zc3h12c	2	0	1	136	3	12
Gm6981	1	3	0	12	2	8
Ddx10	114	333	137	847	719	547
Exph5	0	0	0	0	0	1
Acat1	318	512	219	941	1264	1033
Dmxl2	5	12	4	85	42	89
Ube2q2	47	95	32	248	269	372
Acsbg1	1	0	0	4	0	1
Hykk	1	1	0	14	11	7
Hmg20a	205	247	108	790	656	808
Peak1	22	32	13	188	86	210
Pstpip1	79	90	72	305	252	269
Ptpn9	57	52	28	335	116	183
Fam219b	95	93	80	273	327	298
4930461G14Rik	0	0	0	0	0	1
Nptn	221	410	185	1038	957	1394
Arid3b	225	230	159	934	771	859
Parp6	71	86	52	205	223	207
Neo1	13	1	0	33	23	17
Thsd4	3	1	0	15	8	6
Lrrc49	109	187	86	246	534	344
Paqr5	0	1	1	1	1	0
Coro2b	167	119	97	271	469	529
Map2k5	113	115	97	279	366	405
Smad3	65	33	26	212	72	131
Iqch	0	0	0	3	4	0
Megf11	0	0	0	6	3	6
Map2k1	618	614	347	2033	2216	2176
Dennd4a	357	799	395	3479	2416	3035
Zfp609	72	57	47	299	191	338
Csnk1g1	109	120	74	435	357	484
Car12	2	1	0	9	7	4
Dapk2	0	0	0	8	0	4
Usp3	94	179	85	430	619	565
Rab8b	230	697	247	1158	1785	2100
Herc1	254	412	208	1546	1158	1628
Tln2	1	5	0	20	7	22
Vps13c	76	140	57	472	347	534
Fam81a	0	4	0	2	5	6
Bnip2	536	855	475	1888	2366	2001
Anxa2	2445	3668	2438	4865	13068	8178
Lipc	710	1013	701	1445	2400	1560
Fam63b	174	392	161	1178	1299	1578
Adam10	398	935	386	1605	1764	2470
Tcf12	222	315	196	1084	1168	1197
Cgnl1	14	1	1	1	1	5
Myzap	54	81	41	179	229	189
Ccpg1	39	55	36	258	156	319
Nedd4	407	741	353	1244	1603	1139
Rfx7	340	642	277	1907	1506	2265
Tex9	109	336	119	593	652	483
Prtg	0	0	0	0	6	1
Myo5c	7	0	0	5	4	4
Fam214a	157	242	123	819	600	760
Myo5a	349	852	344	2972	2165	2662
Lysmd2	5	3	0	35	14	13
Hcrtr2	13	20	7	84	96	83
Hmgcll1	10	3	2	34	78	79
Lrrc1	62	63	46	141	211	186
Ick	25	29	15	107	65	101
Senp6	274	509	232	2112	1884	1832
Impg1	1	0	0	1	4	1
Filip1	0	0	0	1	0	0
Myo6	33	59	19	127	335	354
Mei4	0	0	0	1	3	8
Phip	234	983	315	1955	1553	1804
Bckdhb	14	11	11	86	50	37
Ibtk	320	456	278	1571	1489	1622
Dopey1	75	174	68	492	426	530
Me1	12	0	0	3	4	5
Ube2cbp	16	20	20	82	95	74
Mrap2	0	0	0	0	0	1
Syncrip	570	1129	392	3100	2353	3326
Nt5e	252	489	201	1024	945	636
Rasgrf1	0	1	0	3	6	4
Slc9a9	2	45	44	33	40	362
Tfdp2	35	51	35	255	123	167
Atp1b3	490	852	351	1756	1918	1980
Pcolce2	5	24	22	2	2	128
Atr	49	243	62	623	415	482
Pls1	12	32	13	24	77	46
Rasa2	184	514	172	986	1116	1215
Pxylp1	3	2	1	14	7	12
Spsb4	1	0	0	0	0	2
Zbtb38	160	287	151	1138	1003	970
Rbp1	3	0	0	0	0	2
Nmnat3	57	64	55	168	220	212
Pik3cb	34	41	35	140	102	143
Armc8	140	341	129	687	720	747
Esyt3	0	2	5	0	0	2
Nck1	66	212	85	354	508	378
Ppp2r3a	1	3	0	1	5	7
Anapc13	187	331	249	543	836	492
Rab6b	9	10	10	6	7	17
Tmem108	16	25	16	85	113	87
Ryk	44	37	25	225	125	89
Slco2a1	9	3	0	7	0	10
1300017J02Rik	0	0	2	0	0	5
Acad11	30	67	32	163	162	170
Acpp	1	1	0	1	7	1
Dnajc13	341	690	323	1911	1861	2102
Col6a6	0	0	0	0	0	1
Nek11	0	2	0	2	3	4
Atp2c1	267	460	230	1189	1391	1895
Pik3r4	217	214	149	751	693	792
Poc1a	297	280	277	577	759	648
Rpl29	1461	2573	1353	5297	6349	3707
Vprbp	124	150	88	672	410	530
Rad54l2	79	73	41	447	320	364
Rbm6	227	406	182	1320	1007	945
Cacna2d2	2	0	1	21	4	18
6430571L13Rik	0	0	0	0	0	1
Rbm5	628	957	526	2317	2052	2086
Qrich1	519	656	380	1836	1829	1859
1700102P08Rik	11	8	4	11	12	11
Bsn	11	14	5	44	55	36
4930447F24Rik	0	0	0	0	0	1
Fbxw13	2	3	3	9	36	8
Map4	647	517	380	2071	1775	2219
Nme6	106	125	131	310	414	309
Smarcc1	883	958	634	3105	2634	2994
Kif9	23	44	16	83	101	96
Als2cl	2	1	0	0	1	5
Scap	249	266	265	799	691	938
Stac	1	1	0	0	1	4
Clasp2	258	398	171	1272	1093	1502
Cmtm8	1	1	4	3	1	10
Osbpl10	2	1	0	4	4	3
Glb1	125	186	163	350	470	550
Tgfbr2	699	685	470	2186	2122	2824
Gadl1	0	0	0	0	2	1
Cmc1	18	35	10	135	101	102
Dlec1	0	2	1	5	1	4
Acvr2b	4	5	3	10	0	10
Itga9	22	67	93	30	24	606
Oxsr1	333	379	218	1126	1276	1521
Ctdspl	0	0	0	0	0	1
Cx3cr1	3	1	5	17	13	30
Gorasp1	45	38	67	139	120	118
Myrip	0	0	0	2	0	0
Scn11a	23	35	19	48	63	34
Ulk4	8	5	7	22	35	20
Trak1	405	370	271	1210	940	1077
Zfp651	11	12	9	27	25	44
Ano10	91	100	66	218	225	240
Snrk	79	85	56	281	337	380
Cdcp1	0	0	0	17	0	0
Slc6a20b	0	0	0	0	0	1
1110059G10Rik	45	177	72	210	239	265
Zdhhc3	371	352	229	1074	1143	1302
Tcaim	33	48	19	123	102	126
Ccr5	2	3	4	42	9	27
Alkbh8	24	90	41	323	265	220
Aasdhppt	71	158	44	371	365	315
Msantd4	52	150	30	293	268	318
Casp4	19	172	52	544	324	297
Casp12	0	0	1	2	0	6
Casp1	150	578	210	956	1574	1179
Dcun1d5	436	773	356	1406	2024	1822
Mmp13	1	6	3	0	1	23
Mmp12	0	0	0	0	1	0
Mmp8	0	0	0	0	1	1
Mmp10	0	1	0	0	2	1
Mmp27	1	1	2	3	0	17
Tmem123	758	1839	728	3542	3993	4783
Birc2	143	446	159	1030	817	1031
Mir5618	0	0	0	1	0	0
9230110C19Rik	0	0	0	9	5	4
Ccdc82	89	196	78	578	536	510
Jrkl	14	55	30	190	148	160
Cep57	282	1045	345	1412	1761	1328
Fam76b	198	696	240	1209	1201	1609
Endod1	188	166	101	755	517	833
Cwc15	603	1149	563	2310	3025	2196
Kdm4d	1	2	1	12	2	3
Fut4	0	3	2	35	14	39
1700012B09Rik	1	0	0	0	0	0
Piwil4	0	0	0	3	1	2
Ankrd49	49	184	52	350	301	261
Izumo1r	2	0	1	7	4	1
Panx1	220	197	151	588	651	615
Scarna9	0	0	0	0	1	0
Med17	317	411	284	884	1182	1068
4931406C07Rik	32	74	47	109	159	208
Vstm5	1	0	0	0	0	1
Taf1d	100	531	244	1060	838	612
Gm25500	0	2	0	4	3	3
Smco4	328	297	217	670	673	430
Chordc1	245	641	196	1211	1113	1153
Zfp558	5	10	4	17	14	10
Zfp317	96	245	72	541	524	541
Zfp560	9	28	14	50	66	82
Zfp426	96	198	83	325	437	401
Zfp266	47	152	61	299	290	370
Fbxl12	69	63	45	240	204	159
Fbxl12os	2	5	1	6	10	5
Ubl5	749	1056	671	2174	2979	1913
Pin1	479	505	474	955	1396	844
Zfp846	13	36	14	64	59	68
Col5a3	0	0	0	16	1	0
A230050P20Rik	41	47	30	197	196	152
Eif3g	975	996	919	2393	3259	2148
Dnmt1	4103	3779	2345	10381	11145	11575
Angptl6	3	4	11	6	23	11
Ppan	367	393	381	1085	1212	989
Icam5	7	3	3	10	8	11
Icam4	1	0	0	0	4	6
Zglp1	6	3	4	12	16	10
Raver1	516	444	388	1285	1056	1537
Icam1	566	513	453	1563	1666	1844
Mrpl4	510	501	541	1073	1572	1180
Fdx1l	2	7	4	11	14	4
Pde4a	102	104	68	321	267	394
Cdc37	1436	1275	1072	3319	4923	3313
Tyk2	382	426	319	1103	1028	1284
Mir7667	0	0	0	0	0	3
Atg4d	177	233	203	425	542	364
Ap1m2	24	18	21	103	135	104
Slc44a2	619	708	532	2400	1930	2440
S1pr5	0	1	0	12	1	0
Cdkn2d	384	413	260	754	1340	917
Kri1	173	127	96	528	482	465
Ilf3	825	887	574	2103	2234	2126
Gm16853	0	1	0	0	2	2
Qtrt1	87	96	79	204	260	211
Yipf2	74	91	64	199	248	253
Mir199a-1	0	1	0	3	0	0
Timm29	307	327	246	691	748	794
Carm1	219	160	143	678	499	636
AB124611	262	506	508	783	1204	1287
Tmed1	23	41	31	114	108	82
Gm7904	1	3	1	4	2	4
Ldlr	139	145	99	383	407	353
Dock6	24	23	18	68	58	85
Angptl8	0	0	0	2	0	0
Kank2	5	3	3	5	4	6
Tmem205	7	13	10	19	8	24
Epor	2	14	17	11	9	58
Ccdc151	0	0	3	0	0	2
Prkcsh	600	581	505	1556	1783	1729
Plppr2	5	3	5	25	5	5
Rab3d	12	13	16	27	21	36
Swsap1	22	27	14	79	64	58
Rgl3	1	7	7	10	0	22
Gm45914	1	0	0	2	1	0
Cnn1	0	0	0	0	1	0
Ecsit	119	109	114	349	450	369
Acp5	486	952	896	867	1576	1775
Elof1	612	817	640	1257	2142	1324
Gm16845	14	17	20	25	56	43
Zfp653	62	54	36	237	205	151
Pigyl	86	114	99	199	268	187
Zfp809	45	103	35	232	284	233
Zfp599	9	31	9	81	66	72
Anln	152	362	158	733	593	684
Rp9	430	387	309	845	1460	911
Dpy19l1	112	133	82	477	364	604
Herpud2	115	117	78	359	383	537
Gm1110	0	0	0	0	2	1
Acad8	11	14	9	53	32	37
Ncapd3	260	397	193	1422	1038	1212
Vps26b	56	56	57	160	143	184
Snx19	221	252	208	672	741	769
Adamts8	0	0	0	3	0	0
St14	89	104	103	642	538	670
Nfrkb	234	236	174	819	723	853
Kcnj5	0	0	1	0	0	0
Ets1	2361	2609	1277	7166	7841	8307
St3gal4	17	14	4	28	39	54
Tirap	206	213	163	629	758	907
Foxred1	268	377	226	712	851	813
Srpr	476	679	492	1894	1865	2007
4933422A05Rik	0	1	0	0	3	2
Rpusd4	211	238	163	476	747	584
Cdon	60	57	35	256	204	285
Pate3	0	1	1	0	2	0
Ddx25	9	34	4	77	223	140
Hyls1	82	191	73	397	451	323
Pus3	37	136	44	350	297	198
Pate4	2	1	1	0	7	3
Pate2	0	0	0	2	2	4
Stt3a	510	774	370	2071	1800	2443
Ei24	270	371	235	696	901	935
Chek1	96	408	126	661	613	551
Fez1	1	1	0	0	0	0
Tmem218	11	27	6	53	58	42
Ccdc15	17	32	16	115	111	113
Slc37a2	25	71	50	175	118	377
Hepacam	1	0	0	1	1	1
Nrgn	10	23	14	65	33	46
Spa17	5	12	6	19	11	5
Msantd2	39	48	26	182	111	159
Esam	1	10	2	0	3	18
Tbrg1	453	609	430	1360	2058	1551
Vwa5a	32	101	33	252	350	600
AW551984	0	1	0	0	0	0
Zfp202	9	12	8	29	26	36
1700110K17Rik	0	0	0	0	0	1
Scn3b	0	1	1	1	1	6
Hspa8	6958	8094	5657	14169	20961	14251
Bsx	1	0	0	1	0	1
Crtam	0	0	0	0	1	0
Jhy	0	0	0	0	0	1
Sc5d	134	355	154	664	908	735
Tmem136	2	1	0	19	2	4
Oaf	4	8	26	10	12	65
Trim29	0	1	0	1	0	4
D630033O11Rik	0	0	0	0	0	1
Usp2	143	130	121	147	505	541
Thy1	4	4	0	11	18	33
Rnf26	160	134	122	470	327	392
Mcam	3	1	0	5	2	3
Nlrx1	395	330	399	676	1186	1321
Pdzd3	24	22	14	39	71	52
Abcg4	2	7	2	3	8	8
Ccdc153	0	0	0	0	1	0
Hyou1	727	691	574	2641	1816	2317
Ccdc84	91	83	65	203	248	191
C2cd2l	507	339	274	988	1204	1169
Slc37a4	115	112	76	231	309	315
Trappc4	254	326	253	721	1017	675
Vps11	301	283	228	759	890	871
Rps25	2455	5197	2817	7145	11638	7436
Hmbs	267	337	252	758	752	600
H2afx	2270	2112	1901	4662	5783	5394
Dpagt1	99	92	71	406	359	440
Cxcr5	1253	1347	1041	3573	4769	4435
Bcl9l	126	118	69	504	283	502
Foxr1	1	0	0	1	7	6
Ddx6	1168	1867	886	4901	4904	6422
Tmem25	0	1	1	0	1	1
Ift46	106	202	138	483	529	470
Arcn1	644	1427	608	3079	3277	2941
Ttc36	0	0	0	0	1	1
Atp5l	0	6	2	8	21	5
Cd3d	0	1	0	15	5	4
Mpzl2	0	0	0	0	1	0
Mpzl3	9	8	5	36	32	38
Cd3g	1	0	1	15	1	4
Scn2b	0	0	0	7	0	0
Tmprss4	0	1	0	0	0	3
Scn4b	1	0	0	0	0	3
Il10ra	199	260	197	949	1137	1099
Tmprss13	1	0	1	14	0	1
Fxyd2	0	0	0	0	0	3
Fxyd6	0	0	1	2	1	0
Bace1	33	24	11	157	81	111
Cep164	626	486	294	1231	1312	1334
Pcsk7	340	334	261	704	950	899
Mir7087	0	1	0	0	0	1
Tagln	12	23	8	45	41	39
Sidt2	843	822	651	1379	1849	1735
Pafah1b2	334	631	251	1057	1403	1439
Apoc3	0	0	0	0	1	0
Bud13	107	107	72	359	350	344
Zpr1	302	269	226	878	988	764
4931429L15Rik	2	0	0	0	3	0
Gm10677	0	0	0	1	0	1
Nxpe2	165	460	184	661	1177	1008
Gm5617	13	19	19	35	62	49
Rexo2	281	514	378	1637	1462	1325
Rbm7	216	572	218	1319	1362	1090
Gm8884	0	0	0	0	0	1
Htr3b	0	0	0	0	1	0
Zw10	293	429	237	1123	959	941
Ttc12	1	1	0	0	0	1
Pts	116	299	109	544	775	582
Tex12	0	0	2	0	0	1
Bco2	1	5	2	11	15	11
Il18	6	72	37	12	22	259
Dlat	158	155	104	584	528	607
Timm8b	105	269	111	381	529	344
Sdhd	631	723	478	2017	2256	1636
Pih1d2	2	3	1	22	17	3
AU019823	66	173	95	462	409	361
1110032A03Rik	15	48	24	75	98	111
Cryab	1	0	1	0	1	0
Hspb2	0	0	0	0	2	0
Fdxacb1	51	50	34	138	182	155
Alg9	61	76	68	206	240	255
2310030G06Rik	1	0	0	0	0	0
Ppp2r1b	197	256	112	762	756	869
Pou2af1	9027	8908	5703	23745	23399	28956
1810046K07Rik	2	2	0	13	1	4
Gm684	5	8	3	44	11	29
Fdx1	70	60	52	234	265	191
Rdx	39	115	49	515	346	416
Kdelc2	0	8	10	14	6	41
4930550C14Rik	0	0	0	0	1	1
Npat	93	328	136	772	667	608
Cul5	59	210	60	578	466	484
Rab39	14	26	8	58	96	98
Slc35f2	46	50	31	181	117	117
Elmod1	2	0	0	1	0	0
Sh2d7	0	1	1	0	0	0
Idh3a	333	760	356	1576	1651	1522
Cib2	4	13	7	19	14	18
Crabp1	0	1	0	0	0	0
Dnaja4	3	4	2	18	4	5
Wdr61	221	414	199	902	1185	775
Ireb2	192	831	239	1292	1247	1541
Chrnb4	0	0	0	4	2	2
Chrna5	0	1	0	0	0	1
Psma4	480	1180	538	2361	2487	1944
Nrg4	0	0	0	10	2	1
Fbxo22	181	182	107	649	581	552
Etfa	375	755	289	1401	1679	1380
Rcn2	74	130	54	152	239	324
Gm7444	0	0	0	0	2	1
Tspan3	28	56	35	171	64	253
Snx33	12	7	9	90	41	50
Imp3	320	330	222	874	1156	855
Snupn	37	57	21	150	147	164
Sin3a	481	642	352	1701	1680	1843
Man2c1os	6	9	0	12	18	23
Man2c1	306	291	259	747	798	875
Neil1	2252	2140	1795	4017	5951	5203
Gm10658	8	10	10	12	22	24
Commd4	582	762	512	1209	2143	1289
1700017B05Rik	254	167	141	770	564	701
Rpp25	5	7	5	13	16	9
Cox5a	897	1325	788	2770	3077	2595
Ppcdc	130	171	127	571	578	479
Scamp5	2	25	39	2	5	132
Csk	4738	5165	5363	9923	13516	11414
Mpi	122	161	109	273	414	345
Ulk3	106	101	40	378	244	273
Cplx3	1	0	0	2	1	0
Scamp2	333	310	235	1034	1039	1237
Lman1l	0	4	0	3	2	0
Clk3	423	519	342	1108	1393	1097
Edc3	382	350	244	771	1141	1059
Ubl7	370	402	341	800	1306	1128
Sema7a	815	939	681	1722	2751	2362
Cyp11a1	20	38	16	40	112	69
Stra6	1	0	0	0	1	1
Pml	38	65	42	1623	225	306
Islr2	0	0	0	8	0	0
Stoml1	19	21	28	340	87	98
Mir6385	0	0	1	1	2	0
1600029O15Rik	0	0	1	0	0	0
Cd276	8	11	8	44	31	40
6030419C18Rik	0	0	0	6	0	0
Adpgk	183	171	115	668	616	688
Bbs4	19	57	12	93	114	104
Gm20199	1	1	0	3	2	3
Arih1	345	533	232	1591	1487	1850
Hexa	223	426	542	665	979	1473
Tmem202	1	0	0	0	0	1
Senp8	10	35	15	65	55	83
Pkm	4623	5189	4698	12509	16358	13129
Gramd2	0	0	0	18	0	0
Nr2e3	0	0	0	0	0	5
9230112J17Rik	0	0	0	1	1	0
Gm5122	0	0	0	1	0	0
Tle3	128	120	96	790	358	368
Rplp1	10396	13889	10694	25700	39552	24403
Kif23	583	1427	551	3323	3080	2316
Glce	31	63	23	254	201	222
Mir5133	0	1	0	0	0	2
Anp32a	1173	2143	957	4601	4763	3617
Calml4	0	1	0	0	0	5
Fem1b	445	609	284	1312	2012	2013
Gm10653	0	0	0	7	2	4
Cln6	63	61	48	175	154	201
2300009A05Rik	17	16	12	72	52	41
Aagab	346	353	245	880	1112	1011
Snapc5	113	278	119	428	598	401
Zwilch	117	296	131	745	550	627
Rpl4	11389	26563	12036	44754	65046	43145
Snord16a	1	4	1	8	3	4
Dis3l	144	191	134	464	483	452
Uchl4	3	12	1	17	12	22
Tipin	436	1284	521	2331	2354	1788
Rab11a	228	537	192	827	1179	1052
Ints14	317	414	275	847	1092	942
Slc24a1	0	2	0	1	0	1
Dpp8	477	823	420	2064	2405	2487
Igdcc4	0	0	0	0	1	0
Parp16	9	11	10	26	46	36
Ubap1l	0	0	0	4	1	0
Pdcd7	149	95	79	356	450	373
Kbtbd13	0	0	0	0	1	0
Clpx	87	243	105	536	551	527
Spg21	391	539	424	988	1347	1329
Mtfmt	70	87	64	225	283	245
Rbpms2	0	1	0	0	0	2
Plekho2	594	546	483	1601	2000	2066
Pif1	267	181	120	835	632	609
Oaz2	119	130	85	226	429	311
Pclaf	1571	3732	1284	6826	6581	7218
Trip4	139	252	129	569	607	573
Snx1	770	1262	735	1817	2889	2034
Fam96a	463	978	434	1735	2422	1758
Snx22	1	3	2	7	4	2
Fbxl22	1	3	0	8	20	9
Aph1b	0	13	11	0	5	56
Aph1c	5	6	8	5	6	29
Lactb	103	107	77	470	431	425
Rps27l	479	865	522	1296	1931	1249
Tpm1	192	203	123	574	730	678
C2cd4b	0	0	0	0	0	1
Ice2	42	161	63	349	251	255
Gtf2a2	529	1351	575	1545	2208	2028
Gcnt3	28	48	23	41	126	97
Rnf111	145	168	80	699	520	714
Ccnb2	1167	1472	899	3512	4363	3503
Sltm	232	541	245	2188	1626	1238
Aqp9	0	0	0	3	0	0
Aldh1a2	0	2	0	9	0	3
Polr2m	817	1068	551	2769	3105	2954
Mns1	158	270	115	762	701	456
4930509E16Rik	3	7	3	30	68	66
Dyx1c1	2	0	0	11	7	9
Ccpg1os	9	15	4	22	26	21
Rsl24d1	185	279	115	691	669	552
Khdc3	0	1	0	0	1	1
Rab27a	108	160	111	343	371	418
Pigb	20	10	6	57	38	69
2310009A05Rik	81	144	81	173	323	213
Onecut1	0	0	0	0	0	1
Arpp19	467	942	500	1732	2018	1516
Gnb5	12	13	5	23	18	18
4933433G15Rik	1	0	0	1	1	0
Mapk6	295	369	192	1150	1076	1197
Leo1	84	126	76	433	369	326
Tmod3	321	737	320	1653	2173	2069
Tmod2	0	0	1	0	1	0
Fam83b	3	3	0	19	13	4
Gclc	304	333	206	914	1225	1147
Elovl5	161	230	124	643	481	639
Fbxo9	147	181	108	431	535	510
Gsta4	5	6	5	1	15	22
C920006O11Rik	1	2	0	13	15	14
Ooep	0	0	0	1	0	2
Ddx43	0	1	0	0	1	2
Eef1a1	31596	69588	31880	111299	171189	121983
Mb21d1	4	5	4	13	18	20
Mto1	98	107	80	308	331	282
Slc17a5	11	27	18	123	82	134
4930429F24Rik	0	0	1	1	0	5
Cox7a2	625	1512	629	2167	3241	1724
Tmem30a	139	418	117	793	781	1315
Hmgn3	223	521	209	1010	1268	905
Lca5	61	110	46	309	268	212
Sh3bgrl2	126	234	87	505	707	765
Gm2109	0	0	0	0	0	1
Elovl4	1	0	0	7	6	12
Ttk	125	464	153	916	851	692
Fam46a	1	9	10	52	27	73
Rwdd2a	11	6	1	13	37	22
